date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:29:01	51/51	---M-Z	200	added ('OK')	text/plain	date:Wed,%2007%20Feb%202024%2005:59:00%20GMT	https://pixian.ai/robots.txt		(from )
11:29:01	107351/107351	---M-Z	200	added ('OK')	text/html	date:Wed,%2007%20Feb%202024%2005:59:00%20GMT	https://pixian.ai/?ref=pidoutv.com	C:/Users/Sanvi%20Sardana/Downloads/newss/pixian.ai/indexd12d.html	(from )
11:29:03	227461/227461	---M-Z	200	added ('OK')	text/css	etag:%22401d0c4aa175d26cc10f92ff86930daa%22	https://dq2gn5p12glyq.cloudfront.net/p/assets/all_401d0c4aa175d26cc10f92ff86930daa.css	C:/Users/Sanvi%20Sardana/Downloads/newss/dq2gn5p12glyq.cloudfront.net/p/assets/all_401d0c4aa175d26cc10f92ff86930daa.css	(from https://pixian.ai/?ref=pidoutv.com)
11:29:03	203190/203190	---M-Z	200	added ('OK')	application/javascript	etag:%2263e5ec6b-10dcf%22	https://cdnjs.cloudflare.com/ajax/libs/Chart.js/4.2.1/chart.umd.js	C:/Users/Sanvi%20Sardana/Downloads/newss/cdnjs.cloudflare.com/ajax/libs/Chart.js/4.2.1/chart.umd.js	(from https://pixian.ai/?ref=pidoutv.com)
11:29:03	158796/158796	---M-Z	200	added ('OK')	application/javascript	etag:%22de05da03769edfc50afd9aef8871f3f8%22	https://dq2gn5p12glyq.cloudfront.net/p/assets/all_de05da03769edfc50afd9aef8871f3f8.js	C:/Users/Sanvi%20Sardana/Downloads/newss/dq2gn5p12glyq.cloudfront.net/p/assets/all_de05da03769edfc50afd9aef8871f3f8.js	(from https://pixian.ai/?ref=pidoutv.com)
11:29:04	180901/180901	---M-Z	200	added ('OK')	application/javascript	etag:%22d7cea5e91ffa74dee8ce5c8f744dbb32%22	https://dq2gn5p12glyq.cloudfront.net/p/assets/m/Main.min_d7cea5e91ffa74dee8ce5c8f744dbb32.js	C:/Users/Sanvi%20Sardana/Downloads/newss/dq2gn5p12glyq.cloudfront.net/p/assets/m/Main.min_d7cea5e91ffa74dee8ce5c8f744dbb32.js	(from https://pixian.ai/?ref=pidoutv.com)
11:29:04	4068/4068	---M--	200	added ('OK')	image/png	etag:%22e5c5e123409b599a279b94c9a92e643f%22	https://dq2gn5p12glyq.cloudfront.net/p/assets/m/favicons/pixian/apple-touch-icon-180_e5c5e123409b599a279b94c9a92e643f.png	C:/Users/Sanvi%20Sardana/Downloads/newss/dq2gn5p12glyq.cloudfront.net/p/assets/m/favicons/pixian/apple-touch-icon-180_e5c5e123409b599a279b94c9a92e643f.png	(from https://pixian.ai/?ref=pidoutv.com)
11:29:04	324/324	---M--	200	added ('OK')	image/png	etag:%2246dab9b5e2e7d199a3e92e0d55dbd817%22	https://dq2gn5p12glyq.cloudfront.net/p/assets/m/favicons/pixian/favicon-32_46dab9b5e2e7d199a3e92e0d55dbd817.png	C:/Users/Sanvi%20Sardana/Downloads/newss/dq2gn5p12glyq.cloudfront.net/p/assets/m/favicons/pixian/favicon-32_46dab9b5e2e7d199a3e92e0d55dbd817.png	(from https://pixian.ai/?ref=pidoutv.com)
11:29:05	44779/44779	---M-Z	200	added ('OK')	text/html	date:Wed,%2007%20Feb%202024%2005:59:05%20GMT	https://pixian.ai/api	C:/Users/Sanvi%20Sardana/Downloads/newss/pixian.ai/api.html	(from https://pixian.ai/?ref=pidoutv.com)
11:29:06	107239/107239	---M-Z	200	added ('OK')	text/html	date:Wed,%2007%20Feb%202024%2005:59:05%20GMT	https://pixian.ai/	C:/Users/Sanvi%20Sardana/Downloads/newss/pixian.ai/index.html	(from https://pixian.ai/?ref=pidoutv.com)
